id,city,city_ascii,province_id,province_name,lat,lng,population,density,timezone,ranking,postal,city_id
985,Huntingdon,Huntingdon,QC,Quebec,45.08,-74.17,2444,879.2,America/Montreal,3,J0S,986
986,Hébertville,Hebertville,QC,Quebec,48.4,-71.6833,2441,9.3,America/Montreal,4,G0W,987
987,Black River-Matheson,Black River-Matheson,ON,Ontario,48.5333,-80.4667,2438,2.1,America/Toronto,3,P0K,988
988,Saint-Michel-des-Saints,Saint-Michel-des-Saints,QC,Quebec,46.6833,-73.9167,2436,4.9,America/Montreal,3,J0K,989
989,Dufferin,Dufferin,MB,Manitoba,49.5319,-98.07,2435,2.7,America/Winnipeg,4,R0G,990
990,Saint-Victor,Saint-Victor,QC,Quebec,46.15,-70.9,2430,20.2,America/Montreal,3,G0M,991
991,Sicamous,Sicamous,BC,British Columbia,50.8378,-118.9703,2429,192,America/Vancouver,3,V0E,992
992,Cap Pele,Cap Pele,NB,New Brunswick,46.2172,-64.2822,2425,103.8,America/Moncton,4,E4N,993
993,Kelsey,Kelsey,MB,Manitoba,53.7356,-101.395,2424,2.8,America/Winnipeg,3,R9A R0B,994
994,"Killaloe, Hagarty and Richards","Killaloe, Hagarty and Richards",ON,Ontario,45.6,-77.5,2420,6.1,America/Toronto,3,K0J,995
995,Alvinston,Alvinston,ON,Ontario,42.8489,-81.9049,2411,7.7,America/Toronto,4,N0N,996
996,Dundurn No. 314,Dundurn No. 314,SK,Saskatchewan,51.8261,-106.5416,2404,3,America/Regina,4,S0K,997
997,Saint-Éphrem-de-Beauce,Saint-Ephrem-de-Beauce,QC,Quebec,46.0516,-70.9374,2400,20.2,America/Montreal,4,G0M,998
998,Assiniboia,Assiniboia,SK,Saskatchewan,49.6167,-105.9833,2389,630.3,America/Regina,3,S0H,999
999,Témiscaming,Temiscaming,QC,Quebec,46.7167,-79.1,2385,3.3,America/Toronto,3,J0Z,1000
1000,Magrath,Magrath,AB,Alberta,49.4239,-112.8683,2374,396.4,America/Edmonton,3,T0K,1001
1001,Sainte-Geneviève-de-Berthier,Sainte-Genevieve-de-Berthier,QC,Quebec,46.0833,-73.2167,2365,35.5,America/Montreal,4,J0K,1002
1002,Buctouche,Buctouche,NB,New Brunswick,46.4719,-64.7249,2361,130.5,America/Moncton,3,E4S,1003
1003,Grand Manan,Grand Manan,NB,New Brunswick,44.69,-66.82,2360,15.8,America/Moncton,3,E5G,1004
1004,Sainte-Madeleine,Sainte-Madeleine,QC,Quebec,45.6,-73.1,2356,439.8,America/Montreal,3,J0H,1005
1005,Boissevain,Boissevain,MB,Manitoba,49.1779,-100.0955,2353,2.2,America/Winnipeg,4,R0K,1006
1006,Scott,Scott,QC,Quebec,46.512,-71.077,2352,75.1,America/Montreal,4,G0S,1007
1007,Sainte-Croix,Sainte-Croix,QC,Quebec,46.62,-71.73,2352,33.8,America/Montreal,3,G0S,1008
1008,Algonquin Highlands,Algonquin Highlands,ON,Ontario,45.4,-78.75,2351,2.3,America/Toronto,3,P0A,1009
1009,Valcourt,Valcourt,QC,Quebec,45.5,-72.3167,2349,467.3,America/Montreal,3,J0E,1010
1010,Saint George,Saint George,NB,New Brunswick,45.2916,-66.8501,2341,4.7,America/Moncton,4,E5C,1011
1011,Paquetville,Paquetville,NB,New Brunswick,47.6334,-65.1803,2329,10.6,America/Moncton,4,E8R,1012
1012,Saint-Dominique,Saint-Dominique,QC,Quebec,45.5667,-72.85,2327,33.7,America/Montreal,3,J0H,1013
1013,Clearwater,Clearwater,BC,British Columbia,51.65,-120.0333,2324,41.7,America/Vancouver,3,V0E,1014
1014,Addington Highlands,Addington Highlands,ON,Ontario,45,-77.25,2323,1.7,America/Toronto,3,K0H,1015
1015,Lillooet,Lillooet,BC,British Columbia,50.6864,-121.9364,2321,84.4,America/Vancouver,3,V0K,1016
1016,Burin,Burin,NL,Newfoundland and Labrador,47.05,-55.18,2315,67.8,America/St_Johns,3,A0E,1017
1017,Grand Bank,Grand Bank,NL,Newfoundland and Labrador,47.1,-55.7833,2310,136.1,America/St_Johns,3,A0E,1018
1018,Léry,Lery,QC,Quebec,45.35,-73.8,2307,218.2,America/Montreal,3,J6N,1019
1019,Minto,Minto,NB,New Brunswick,46.1497,-66.1067,2305,72.8,America/Moncton,3,E4B,1020
1020,Rosthern No. 403,Rosthern No. 403,SK,Saskatchewan,52.6206,-106.3967,2300,2.4,America/Regina,4,S0K,1021
1021,Chase,Chase,BC,British Columbia,50.8189,-119.6844,2286,607,America/Vancouver,3,V0E,1022
1022,Mansfield-et-Pontefract,Mansfield-et-Pontefract,QC,Quebec,45.8611,-76.7392,2285,4.8,America/Montreal,3,J0X,1023
1023,Saint-Denis,Saint-Denis,QC,Quebec,45.7833,-73.15,2285,26.9,America/Montreal,3,J0H,1024
1024,Outlook,Outlook,SK,Saskatchewan,51.5,-107.05,2279,291,America/Regina,3,S0L,1025
1025,Mitchell,Mitchell,MB,Manitoba,49.5363,-96.7634,2279,704.7,America/Winnipeg,3,R5G,1026
1026,Saint-Gédéon-de-Beauce,Saint-Gedeon-de-Beauce,QC,Quebec,45.85,-70.6333,2277,11.6,America/Montreal,4,G0M,1027
1027,Saint-Léonard-d'Aston,Saint-Leonard-d'Aston,QC,Quebec,46.1,-72.3667,2271,27.5,America/Montreal,3,J0C,1028
1028,Lunenburg,Lunenburg,NS,Nova Scotia,44.3833,-64.3167,2263,560.1,America/Halifax,3,B0J,1029
1029,Northesk,Northesk,NB,New Brunswick,47.2569,-66.2613,2263,0.7,America/Moncton,4,E1V E9E,1030
1030,Albanel,Albanel,QC,Quebec,48.8833,-72.45,2262,11.4,America/Montreal,3,G8M,1031
1031,St. Anthony,St. Anthony,NL,Newfoundland and Labrador,51.3725,-55.5947,2258,61,America/St_Johns,3,A0K,1032
1032,Pessamit,Pessamit,QC,Quebec,49.0485,-68.6814,2256,8.8,America/Montreal,4,G0H,1033
1033,Maskinongé,Maskinonge,QC,Quebec,46.2333,-73.0167,2253,30.2,America/Montreal,3,J0K,1034
1034,Saint-Charles-de-Bellechasse,Saint-Charles-de-Bellechasse,QC,Quebec,46.7667,-70.95,2246,24.1,America/Montreal,4,G0R,1035
1035,Fogo Island,Fogo Island,NL,Newfoundland and Labrador,49.6667,-54.1833,2244,9.4,America/St_Johns,3,A0G,1036
1036,East Broughton,East Broughton,QC,Quebec,46.2167,-71.0667,2229,255.3,America/Montreal,3,G0N,1037
1037,Lantz,Lantz,NS,Nova Scotia,44.9894,-63.4736,2229,749.9,America/Halifax,3,B2S,1038
1038,Calmar,Calmar,AB,Alberta,53.25,-113.7833,2228,476.2,America/Edmonton,3,T0C,1039
1039,Highlands,Highlands,BC,British Columbia,48.52,-123.5,2225,58.5,America/Vancouver,3,V9B V9E,1040
1040,Saint-Polycarpe,Saint-Polycarpe,QC,Quebec,45.3,-74.3,2224,31.8,America/Montreal,3,J0P,1041
1041,Logy Bay-Middle Cove-Outer Cove,Logy Bay-Middle Cove-Outer Cove,NL,Newfoundland and Labrador,47.63,-52.68,2221,130.9,America/St_Johns,3,A1K,1042
1042,Deschambault,Deschambault,QC,Quebec,46.6436,-72.0236,2220,17.8,America/Montreal,4,G0A,1043
1043,Canora,Canora,SK,Saskatchewan,51.6339,-102.4369,2219,303.7,America/Regina,3,S0A,1044
1044,Upper Miramichi,Upper Miramichi,NB,New Brunswick,46.5254,-66.2085,2218,1.2,America/Moncton,4,E9C E6A,1045
1045,Anmore,Anmore,BC,British Columbia,49.3144,-122.8564,2210,80.2,America/Vancouver,3,V3H,1046
1046,Hardwicke,Hardwicke,NB,New Brunswick,47.0208,-65.0302,2201,7.9,America/Moncton,4,E1N E9A,1047
1047,Saint-Côme,Saint-Come,QC,Quebec,46.27,-73.78,2198,13.5,America/Montreal,3,J0K,1048
1048,Waskaganish,Waskaganish,QC,Quebec,51.3674,-78.7069,2196,4.4,America/Montreal,4,J0M J0Y,1049
1049,Twillingate,Twillingate,NL,Newfoundland and Labrador,49.6444,-54.7436,2196,85.3,America/St_Johns,3,A0G,1050
1050,Saint-Quentin,Saint-Quentin,NB,New Brunswick,47.5135,-67.3921,2194,517.2,America/Moncton,3,E8A,1051
1051,Lebel-sur-Quévillon,Lebel-sur-Quevillon,QC,Quebec,49.05,-76.9833,2187,53.8,America/Montreal,3,J0Y,1052
1052,Pilot Butte,Pilot Butte,SK,Saskatchewan,50.4667,-104.4167,2183,377.7,America/Regina,3,S0G,1053
1053,Nanton,Nanton,AB,Alberta,50.3494,-113.7717,2181,447.8,America/Edmonton,3,T0L,1054
1054,Pierreville,Pierreville,QC,Quebec,46.0667,-72.8167,2176,27.8,America/Montreal,3,J0G,1055
1055,New-Wes-Valley,New-Wes-Valley,NL,Newfoundland and Labrador,49.15,-53.5833,2172,16.3,America/St_Johns,3,A0G,1056
1056,Pennfield Ridge,Pennfield Ridge,NB,New Brunswick,45.1924,-66.6858,2170,6,America/Moncton,4,E5H,1057
1057,West Interlake,West Interlake,MB,Manitoba,50.9837,-98.3572,2162,1.3,America/Winnipeg,4,R0C,1058
1058,Biggar,Biggar,SK,Saskatchewan,52.059,-107.979,2161,137.2,America/Regina,3,S0K,1059
1059,Britannia No. 502,Britannia No. 502,SK,Saskatchewan,53.4236,-109.7772,2153,2.3,America/Edmonton,4,S9V,1060
1060,Kent,Kent,NB,New Brunswick,46.6221,-67.2953,2153,2.6,America/Moncton,4,E7J,1061
1061,Wabana,Wabana,NL,Newfoundland and Labrador,47.65,-52.9333,2146,148,America/St_Johns,3,A0A,1062
1062,Saint-Gilles,Saint-Gilles,QC,Quebec,46.5167,-71.3667,2138,12.1,America/Montreal,4,G0S,1063
1063,Wendake,Wendake,QC,Quebec,46.8693,-71.3628,2134,1253.9,America/Montreal,3,G0A,1064
1064,Saint-Bernard,Saint-Bernard,QC,Quebec,46.5,-71.1333,2131,23.7,America/Montreal,4,G0S,1065
1065,Sainte-Cécile-de-Milton,Sainte-Cecile-de-Milton,QC,Quebec,45.4833,-72.75,2128,29.1,America/Montreal,4,J0E,1066
1066,Saint-Roch-de-Richelieu,Saint-Roch-de-Richelieu,QC,Quebec,45.8833,-73.1667,2122,60.9,America/Montreal,4,J0L,1067
1067,Saint-Nazaire,Saint-Nazaire,QC,Quebec,48.5833,-71.5333,2114,14.6,America/Montreal,4,G0W,1068
1068,Saint-Elzéar,Saint-Elzear,QC,Quebec,46.4,-71.0667,2107,24.1,America/Montreal,4,G0S,1069
1069,Hinchinbrooke,Hinchinbrooke,QC,Quebec,45.05,-74.1,2103,14.1,America/Montreal,3,J0S,1070
1070,Saint-François-Xavier-de-Brompton,Saint-Francois-Xavier-de-Brompton,QC,Quebec,45.5333,-72.05,2101,21.5,America/Montreal,4,J0B,1071
1071,Papineauville,Papineauville,QC,Quebec,45.6167,-75.0167,2101,34.3,America/Montreal,3,J0V,1072
1072,Prairie View,Prairie View,MB,Manitoba,50.3304,-100.9803,2088,1.2,America/Winnipeg,4,R0J R0M,1073
1073,Cowichan Bay,Cowichan Bay,BC,British Columbia,48.7666,-123.6743,2086,89.5,America/Vancouver,4,V9L,1074
1074,Saint-Ignace-de-Loyola,Saint-Ignace-de-Loyola,QC,Quebec,46.0667,-73.1333,2086,57.7,America/Montreal,3,J0K,1075
1075,Central Manitoulin,Central Manitoulin,ON,Ontario,45.7167,-82.2,2084,4.8,America/Toronto,3,P0P,1076
1076,Maple Creek,Maple Creek,SK,Saskatchewan,49.9167,-109.4667,2084,471.3,America/Regina,3,S0N,1077
1077,Glovertown,Glovertown,NL,Newfoundland and Labrador,48.6667,-54.05,2083,29.6,America/St_Johns,3,A0G,1078
1078,Tofield,Tofield,AB,Alberta,53.3703,-112.6667,2081,253.4,America/Edmonton,3,T0B,1079
1079,Madoc,Madoc,ON,Ontario,44.5833,-77.5167,2078,7.9,America/Toronto,3,K0K,1080
1080,Upton,Upton,QC,Quebec,45.65,-72.6833,2075,37.3,America/Montreal,4,J0H,1081
1081,Sainte-Anne-de-Sabrevois,Sainte-Anne-de-Sabrevois,QC,Quebec,45.2,-73.2167,2074,46.3,America/Montreal,3,J0J,1082
1082,Logan Lake,Logan Lake,BC,British Columbia,50.4911,-120.8153,2073,6.4,America/Vancouver,3,V0K,1083
1083,Sainte-Anne-de-la-Pérade,Sainte-Anne-de-la-Perade,QC,Quebec,46.5833,-72.2,2072,18.8,America/Montreal,3,G0X,1084
1084,Saint-Damien-de-Buckland,Saint-Damien-de-Buckland,QC,Quebec,46.6333,-70.6667,2071,25.2,America/Montreal,4,G0R,1085
1085,Baker Lake,Baker Lake,NU,Nunavut,64.3287,-96.0308,2069,11.4,America/Rankin_Inlet,4,X0C,1086
1086,Saltair,Saltair,BC,British Columbia,48.9504,-123.7637,2069,305.1,America/Vancouver,3,V0R V9G,1087
1087,Pouch Cove,Pouch Cove,NL,Newfoundland and Labrador,47.767,-52.767,2069,35.5,America/St_Johns,3,A0A,1088
1088,Saint-Ferdinand,Saint-Ferdinand,QC,Quebec,46.1,-71.5667,2067,15.1,America/Montreal,3,G0N,1089
1089,Port McNeill,Port McNeill,BC,British Columbia,50.5903,-127.0847,2064,149.9,America/Vancouver,3,V0N,1090
1090,Digby,Digby,NS,Nova Scotia,44.6222,-65.7606,2060,654.6,America/Halifax,3,B0V,1091
1091,Manouane,Manouane,QC,Quebec,47.2091,-74.3833,2060,258.4,America/Montreal,3,J0K,1092
1092,Saint-Gervais,Saint-Gervais,QC,Quebec,46.7167,-70.8833,2058,23.1,America/Montreal,4,G0R,1093
1093,Neebing,Neebing,ON,Ontario,48.1833,-89.4667,2055,2.3,America/Toronto,3,P7L,1094
1094,Redwater,Redwater,AB,Alberta,53.9489,-113.1067,2053,102.5,America/Edmonton,3,T0A,1095
1095,Saint-Alexandre-de-Kamouraska,Saint-Alexandre-de-Kamouraska,QC,Quebec,47.6817,-69.625,2050,18.4,America/Montreal,4,G0L,1096
1096,Saint-Marc-sur-Richelieu,Saint-Marc-sur-Richelieu,QC,Quebec,45.6833,-73.2,2050,33.8,America/Montreal,4,J0L,1097
1097,Mandeville,Mandeville,QC,Quebec,46.3667,-73.35,2043,6.3,America/Montreal,3,J0K,1098
1098,Caplan,Caplan,QC,Quebec,48.1,-65.6833,2039,23.7,America/Montreal,3,G0C,1099
1099,Point Edward,Point Edward,ON,Ontario,42.9931,-82.4083,2037,620.6,America/Toronto,3,N7V N7T,1100
1100,Allardville,Allardville,NB,New Brunswick,47.4321,-65.4383,2032,3.1,America/Moncton,4,E8L,1101
1101,Waterville,Waterville,QC,Quebec,45.2667,-71.9,2028,45.7,America/Montreal,3,J0B,1102
1102,Saint-Damien,Saint-Damien,QC,Quebec,46.33,-73.48,2020,7.9,America/Montreal,3,J0K,1103
1103,Lac-Nominingue,Lac-Nominingue,QC,Quebec,46.4,-75.0333,2019,6.6,America/Montreal,3,J0W,1104
1104,Obedjiwan,Obedjiwan,QC,Quebec,48.6686,-74.9289,2019,234.4,America/Montreal,3,G0W,1105
1105,Rama,Rama,SK,Saskatchewan,51.7578,-103.0008,2016,3087.3,America/Regina,2,S0A,1106
1106,McCreary,McCreary,MB,Manitoba,50.7494,-99.485,2011,274.7,America/Winnipeg,3,R0J,1107
1107,Deloraine-Winchester,Deloraine-Winchester,MB,Manitoba,49.1775,-100.4322,2011,2,America/Winnipeg,4,R0M,1108
1108,Oakland-Wawanesa,Oakland-Wawanesa,MB,Manitoba,49.6208,-99.8481,2011,2.9,America/Winnipeg,4,R0K,1109
1109,Brenda-Waskada,Brenda-Waskada,MB,Manitoba,49.1775,-100.7019,2011,0.9,America/Winnipeg,4,R0M,1110
1110,Russell-Binscarth,Russell-Binscarth,MB,Manitoba,50.7272,-101.3689,2011,4.3,America/Winnipeg,4,R0J,1111
1111,Ellice-Archie,Ellice-Archie,MB,Manitoba,50.3239,-101.2729,2011,0.8,America/Winnipeg,4,R0M,1112
1112,Souris-Glenwood,Souris-Glenwood,MB,Manitoba,49.6208,-100.2581,2011,4.4,America/Winnipeg,4,R0K,1113
1113,Riverdale,Riverdale,MB,Manitoba,49.975,-100.2789,2011,3.7,America/Winnipeg,3,R0K,1114
1114,Pembina,Pembina,MB,Manitoba,49.1775,-98.5408,2011,2.1,America/Winnipeg,3,R0G,1115
1115,Wallace-Woodworth,Wallace-Woodworth,MB,Manitoba,49.9156,-100.9389,2011,1.5,America/Winnipeg,4,R0M,1116
1116,Lorne,Lorne,MB,Manitoba,49.4436,-98.7494,2011,3.3,America/Winnipeg,3,R0G R0K,1117
1117,Ethelbert,Ethelbert,MB,Manitoba,51.5364,-100.4981,2011,104.3,America/Winnipeg,4,R0L,1118
1118,Yellowhead,Yellowhead,MB,Manitoba,50.4847,-100.4828,2011,1.8,America/Winnipeg,4,R0J,1119
1119,Swan Valley West,Swan Valley West,MB,Manitoba,51.9978,-101.3944,2011,1.6,America/Winnipeg,3,R0L,1120
1120,Grey,Grey,MB,Manitoba,49.7094,-98.0736,2011,2.8,America/Winnipeg,4,R0G,1121
1121,Gilbert Plains,Gilbert Plains,MB,Manitoba,51.1547,-100.4381,2011,1.4,America/Winnipeg,4,R0L,1122
1122,Norfolk-Treherne,Norfolk-Treherne,MB,Manitoba,49.6653,-98.5967,2011,2.4,America/Winnipeg,4,R0G,1123
1123,Hamiota,Hamiota,MB,Manitoba,50.1964,-100.6342,2011,248.3,America/Winnipeg,3,R0M,1124
1124,Emerson-Franklin,Emerson-Franklin,MB,Manitoba,49.1333,-97.0331,2011,2.6,America/Winnipeg,3,R0A,1125
1125,Sifton,Sifton,MB,Manitoba,49.6653,-100.6678,2011,2.6,America/Winnipeg,3,R0M,1126
1126,Rossburn,Rossburn,MB,Manitoba,50.7272,-100.7408,2011,150.4,America/Winnipeg,4,R0J,1127
1127,Grand View,Grand View,MB,Manitoba,51.155,-100.7892,2011,310.3,America/Winnipeg,3,R0L,1128
1128,Grassland,Grassland,MB,Manitoba,49.4306,-100.3103,2011,1.2,America/Winnipeg,4,R0K R0M,1129
1129,Louise,Louise,MB,Manitoba,49.1772,-98.8794,2011,2,America/Winnipeg,4,R0G R0K,1130
1130,Ste. Rose,Ste. Rose,MB,Manitoba,51.0222,-99.4306,2011,2.7,America/Winnipeg,4,R0J R0L,1131
1131,Cartwright-Roblin,Cartwright-Roblin,MB,Manitoba,49.1331,-99.2797,2011,1.8,America/Winnipeg,3,R0K,1132
1132,Mossey River,Mossey River,MB,Manitoba,51.755,-99.9664,2011,1,America/Winnipeg,4,R0L,1133
1133,Lakeshore,Lakeshore,MB,Manitoba,51.244,-99.6562,2011,1.1,America/Winnipeg,4,R0L,1134
1134,Riding Mountain West,Riding Mountain West,MB,Manitoba,50.8347,-101.0961,2011,0.9,America/Winnipeg,3,R0J,1135
1135,Clanwilliam-Erickson,Clanwilliam-Erickson,MB,Manitoba,50.5061,-99.8156,2011,2.5,America/Winnipeg,4,R0J,1136
1136,Glenboro-South Cypress,Glenboro-South Cypress,MB,Manitoba,49.665,-99.3708,2011,1.4,America/Winnipeg,4,R0K,1137
1137,North Norfolk,North Norfolk,MB,Manitoba,49.9308,-98.8356,2011,3.3,America/Winnipeg,4,R0H,1138
1138,Reinland,Reinland,MB,Manitoba,49.1331,-97.5942,2011,6.2,America/Winnipeg,3,R0G,1139
1139,Minitonas-Bowsman,Minitonas-Bowsman,MB,Manitoba,52.1433,-100.9772,2011,1.4,America/Winnipeg,4,R0L,1140
1140,Kippens,Kippens,NL,Newfoundland and Labrador,48.5492,-58.6236,2008,140.3,America/St_Johns,3,A2N,1141
1141,Blucher,Blucher,SK,Saskatchewan,52.0134,-106.2176,2006,2.5,America/Regina,4,S0K,1142
1142,Hatley,Hatley,QC,Quebec,45.27,-71.95,2003,28,America/Montreal,4,J0B,1143
1143,Saint-Gédéon,Saint-Gedeon,QC,Quebec,48.5,-71.7667,2001,31.5,America/Montreal,3,G0W,1144
1144,Kingsey Falls,Kingsey Falls,QC,Quebec,45.85,-72.0667,2000,28.7,America/Montreal,3,J0A,1145
1145,Provost,Provost,AB,Alberta,52.3539,-110.2686,1998,423,America/Edmonton,3,T0B,1146
1146,Saint-Charles,Saint-Charles,NB,New Brunswick,46.6692,-65.0184,1997,11.4,America/Moncton,4,E4W,1147
1147,Mattawa,Mattawa,ON,Ontario,46.3167,-78.7,1993,544.8,America/Montreal,3,P0H,1148
1148,Tumbler Ridge,Tumbler Ridge,BC,British Columbia,55.1333,-121,1987,1.3,America/Dawson_Creek,3,V0C,1149
1149,Terrasse-Vaudreuil,Terrasse-Vaudreuil,QC,Quebec,45.4,-73.9833,1986,1865.2,America/Montreal,3,J7V,1150
1150,L'Ascension-de-Notre-Seigneur,L'Ascension-de-Notre-Seigneur,QC,Quebec,48.7,-71.6833,1983,15,America/Montreal,4,G0W,1151
1151,Bow Island,Bow Island,AB,Alberta,49.8667,-111.3667,1983,341.6,America/Edmonton,3,T0K,1152
1152,Barraute,Barraute,QC,Quebec,48.4333,-77.6333,1980,4,America/Montreal,3,J0Y,1153
1153,One Hundred Mile House,One Hundred Mile House,BC,British Columbia,51.6413,-121.3127,1980,37.2,America/Vancouver,4,V0K,1154
1154,Kedgwick,Kedgwick,NB,New Brunswick,47.6456,-67.3431,1979,3,America/Moncton,3,E8B,1155
1155,Gambo,Gambo,NL,Newfoundland and Labrador,48.7833,-54.2167,1978,21.5,America/St_Johns,3,A0G,1156
1156,Saint-Liguori,Saint-Liguori,QC,Quebec,46.0167,-73.5667,1976,39.1,America/Montreal,4,J0K,1157
1157,Bonfield,Bonfield,ON,Ontario,46.2167,-79.1333,1975,9.5,America/Toronto,3,P0H,1158
1158,Pointe-Lebel,Pointe-Lebel,QC,Quebec,49.1667,-68.2,1973,23.3,America/Montreal,4,G0H,1159
1159,Saint Mary,Saint Mary,NB,New Brunswick,46.3987,-64.8681,1972,8.3,America/Moncton,4,E4S,1160
1160,Saint-Patrice-de-Sherrington,Saint-Patrice-de-Sherrington,QC,Quebec,45.1667,-73.5167,1971,21.3,America/Montreal,3,J0L,1161
1161,Fox Creek,Fox Creek,AB,Alberta,54.395,-116.8092,1971,159.4,America/Edmonton,3,T0H,1162
1162,Dawn-Euphemia,Dawn-Euphemia,ON,Ontario,42.7,-82.0167,1967,4.4,America/Toronto,3,N0P,1163
1163,Chapleau,Chapleau,ON,Ontario,47.8333,-83.4,1964,138.2,America/Toronto,3,P0M,1164
1164,Saint-Esprit,Saint-Esprit,QC,Quebec,45.9,-73.6667,1963,36.4,America/Montreal,3,J0K,1165
1165,Westfield Beach,Westfield Beach,NB,New Brunswick,45.3432,-66.2868,1962,6.6,America/Moncton,4,E5K E5S,1166
1166,Montague,Montague,PE,Prince Edward Island,46.1652,-62.65,1961,620.8,America/Halifax,3,C0A,1167
1167,Mashteuiatsh,Mashteuiatsh,QC,Quebec,48.569,-72.2495,1957,134.9,America/Montreal,4,G0W,1168
1168,Saint-François-du-Lac,Saint-Francois-du-Lac,QC,Quebec,46.0667,-72.8333,1957,30.4,America/Montreal,3,J0G,1169
1169,Eel River Crossing,Eel River Crossing,NB,New Brunswick,48.0125,-66.4208,1953,29.8,America/Moncton,3,E8E,1170
1170,Saint-Fulgence,Saint-Fulgence,QC,Quebec,48.45,-70.9,1949,5.5,America/Montreal,4,G0V,1171
1171,Millet,Millet,AB,Alberta,53.0978,-113.4728,1945,522.9,America/Edmonton,3,T0C,1172
1172,Vallée-Jonction,Vallee-Jonction,QC,Quebec,46.3667,-70.9167,1940,76.6,America/Montreal,4,G0S,1173
1173,Saint-Georges-de-Cacouna,Saint-Georges-de-Cacouna,QC,Quebec,47.9167,-69.5,1939,30.6,America/Montreal,3,G0L,1174
1174,Lumsden No. 189,Lumsden No. 189,SK,Saskatchewan,50.6734,-104.7686,1938,2.4,America/Regina,4,S0G,1175
1175,Manitouwadge,Manitouwadge,ON,Ontario,49.1333,-85.8333,1937,5.5,America/Toronto,3,P0T,1176
1176,Wellington,Wellington,ON,Ontario,43.9579,-77.3534,1932,275.4,America/Toronto,3,K0K,1177
1177,Swift Current No. 137,Swift Current No. 137,SK,Saskatchewan,50.2211,-107.8559,1932,1.8,America/Regina,4,S0N S9H,1178
1178,Tofino,Tofino,BC,British Columbia,49.1275,-125.8852,1932,183.1,America/Vancouver,4,V0R,1179
1179,Fort Qu’Appelle,Fort Qu'Appelle,SK,Saskatchewan,50.7667,-103.7833,1919,363.2,America/Regina,3,S0G,1180
1180,Vulcan,Vulcan,AB,Alberta,50.4,-113.25,1917,302.3,America/Edmonton,3,T0L,1181
1181,Indian Head,Indian Head,SK,Saskatchewan,50.5333,-103.6667,1910,602,America/Regina,3,S0G,1182
1182,Petit Rocher,Petit Rocher,NB,New Brunswick,47.7839,-65.7159,1908,425.2,America/Moncton,3,E8J,1183
1183,Wabush,Wabush,NL,Newfoundland and Labrador,52.9081,-66.869,1906,41.2,America/Goose_Bay,3,A0R,1184
1184,Saint-Fabien,Saint-Fabien,QC,Quebec,48.3,-68.87,1906,15.9,America/Montreal,4,G0L,1185
1185,Watrous,Watrous,SK,Saskatchewan,51.6841,-105.4661,1900,170.1,America/Regina,4,S0K,1186
1186,North Frontenac,North Frontenac,ON,Ontario,44.95,-76.9,1898,1.6,America/Toronto,3,K0H,1187
1187,Lac-Supérieur,Lac-Superieur,QC,Quebec,46.2,-74.4667,1892,5.1,America/Montreal,3,J0T,1188
1188,Les Escoumins,Les Escoumins,QC,Quebec,48.35,-69.4,1891,7,America/Montreal,3,G0T,1189
1189,Richibucto,Richibucto,NB,New Brunswick,46.6189,-64.8385,1887,7.6,America/Moncton,4,E4W,1190
1190,Rivière-Beaudette,Riviere-Beaudette,QC,Quebec,45.2333,-74.3333,1885,101.9,America/Montreal,3,J0P,1191
1191,Saint-Barthélemy,Saint-Barthelemy,QC,Quebec,46.1833,-73.1333,1883,17.9,America/Montreal,4,J0K,1192
1192,Nisga'a,Nisga'a,BC,British Columbia,55.1078,-129.4293,1880,0.9,America/Vancouver,4,V0J,1193
1193,Austin,Austin,QC,Quebec,45.1833,-72.2833,1880,25.5,America/Montreal,3,J0B,1194
1194,Saint-Mathieu,Saint-Mathieu,QC,Quebec,45.3167,-73.5164,1879,59.5,America/Montreal,3,J0L,1195
1195,Saint-Paul-de-l'Île-aux-Noix,Saint-Paul-de-l'Ile-aux-Noix,QC,Quebec,45.1333,-73.2833,1877,63.4,America/Montreal,3,J0J,1196
1196,Orkney No. 244,Orkney No. 244,SK,Saskatchewan,51.2557,-102.6469,1875,2.3,America/Regina,4,S3N,1197
1197,Behchokò,Behchoko,NT,Northwest Territories,62.8184,-115.9933,1874,24.9,America/Yellowknife,4,X0E,1198
1198,Saint-Joseph-de-Coleraine,Saint-Joseph-de-Coleraine,QC,Quebec,45.97,-71.37,1870,14.7,America/Montreal,4,G0N,1199
1199,Saint-Cyprien-de-Napierville,Saint-Cyprien-de-Napierville,QC,Quebec,45.1833,-73.4167,1869,19.2,America/Montreal,3,J0J,1200
1200,Sayabec,Sayabec,QC,Quebec,48.5667,-67.6833,1864,14.3,America/Montreal,3,G0J,1201
1201,Valleyview,Valleyview,AB,Alberta,55.0686,-117.2683,1863,199.9,America/Edmonton,3,T0H,1202
1202,Déléage,Deleage,QC,Quebec,46.3833,-75.9167,1856,7.5,America/Montreal,4,J9E,1203
1203,Potton,Potton,QC,Quebec,45.0833,-72.3667,1849,7.1,America/Montreal,3,J0E,1204
1204,Sainte-Béatrix,Sainte-Beatrix,QC,Quebec,46.2,-73.6167,1849,22,America/Montreal,3,J0K,1205
1205,Sainte-Justine,Sainte-Justine,QC,Quebec,46.4,-70.35,1845,14.6,America/Montreal,3,G0R,1206
1206,Eastman,Eastman,QC,Quebec,45.3341,-72.3041,1843,25,America/Montreal,4,J0E,1207
