id,city,city_ascii,province_id,province_name,lat,lng,population,density,timezone,ranking,postal,city_id
813,Sables-Spanish Rivers,Sables-Spanish Rivers,ON,Ontario,46.2333,-82,3214,3.9,America/Toronto,3,P0P,814
814,Hillsburg-Roblin-Shell River,Hillsburg-Roblin-Shell River,MB,Manitoba,51.3343,-101.2929,3214,1.9,America/Winnipeg,4,R0L,815
815,Port Hawkesbury,Port Hawkesbury,NS,Nova Scotia,45.6153,-61.3642,3214,396.6,America/Halifax,3,B9A,816
816,Three Hills,Three Hills,AB,Alberta,51.7072,-113.2647,3212,475.7,America/Edmonton,3,T0M,817
817,Lorette,Lorette,MB,Manitoba,49.7414,-96.8761,3208,685,America/Winnipeg,3,R0A,818
818,Paspebiac,Paspebiac,QC,Quebec,48.0333,-65.25,3198,33.8,America/Montreal,3,G0C,819
819,Saint-Thomas,Saint-Thomas,QC,Quebec,46.0167,-73.35,3193,33.6,America/Montreal,3,J0K,820
820,Saint-Jean-Baptiste,Saint-Jean-Baptiste,QC,Quebec,45.5167,-73.1167,3191,44.3,America/Montreal,3,J0L,821
821,Portneuf,Portneuf,QC,Quebec,46.7,-71.8833,3187,29.1,America/Montreal,3,G0A,822
822,Pictou,Pictou,NS,Nova Scotia,45.6814,-62.7119,3186,397.6,America/Halifax,3,B0K,823
823,Tisdale,Tisdale,SK,Saskatchewan,52.85,-104.05,3180,491.5,America/Regina,3,S0E,824
824,Lake of Bays,Lake of Bays,ON,Ontario,45.3043,-79.018,3167,4.7,America/Toronto,4,P0B P0A P1H,825
825,High Level,High Level,AB,Alberta,58.5169,-117.1361,3159,108.2,America/Edmonton,3,T0H,826
826,Gibbons,Gibbons,AB,Alberta,53.8278,-113.3228,3159,421.3,America/Edmonton,3,T0A,827
827,Bishops Falls,Bishops Falls,NL,Newfoundland and Labrador,49.0167,-55.5167,3156,112.2,America/St_Johns,3,A0H,828
828,WestLake-Gladstone,WestLake-Gladstone,MB,Manitoba,50.2862,-98.8415,3154,1.7,America/Winnipeg,4,R0J R0H,829
829,Normandin,Normandin,QC,Quebec,48.8333,-72.5333,3137,14.8,America/Montreal,3,G8M,830
830,Saint-Alphonse-Rodriguez,Saint-Alphonse-Rodriguez,QC,Quebec,46.1833,-73.7,3134,32,America/Montreal,3,J0K,831
831,Beauséjour,Beausejour,MB,Manitoba,50.0622,-96.5161,3126,584.4,America/Winnipeg,3,R0E,832
832,Dalhousie,Dalhousie,NB,New Brunswick,48.1,-66.6167,3126,205.3,America/Montreal,3,E8C,833
833,Saint-Alphonse-de-Granby,Saint-Alphonse-de-Granby,QC,Quebec,45.3333,-72.8167,3125,62.6,America/Montreal,3,J0E,834
834,Lac du Bonnet,Lac du Bonnet,MB,Manitoba,50.2577,-96.1209,3121,2.8,America/Winnipeg,4,R0E,835
835,Clermont,Clermont,QC,Quebec,47.6833,-70.2333,3118,62.8,America/Montreal,3,G4A,836
836,Virden,Virden,MB,Manitoba,49.8508,-100.9317,3114,370.2,America/Winnipeg,3,R0M,837
837,Compton,Compton,QC,Quebec,45.2333,-71.8167,3112,15.1,America/Montreal,4,J0B,838
838,White City,White City,SK,Saskatchewan,50.4353,-104.3572,3099,7.5,America/Regina,3,S4L,839
839,Ellison,Ellison,BC,British Columbia,49.9646,-119.3178,3094,37.6,America/Vancouver,4,V1X V1P,840
840,Mont-Saint-Grégoire,Mont-Saint-Gregoire,QC,Quebec,45.3333,-73.1667,3086,38.8,America/Montreal,3,J0J,841
841,Wellington,Wellington,NB,New Brunswick,46.4768,-64.7478,3079,16.7,America/Moncton,4,E4S E4V,842
842,Merrickville,Merrickville,ON,Ontario,44.8539,-75.8269,3067,14.3,America/Toronto,4,K0G,843
843,Saint-Liboire,Saint-Liboire,QC,Quebec,45.65,-72.7667,3051,41.9,America/Montreal,3,J0H,844
844,Dégelis,Degelis,QC,Quebec,47.55,-68.65,3051,5.5,America/Montreal,3,G5T,845
845,Morris,Morris,MB,Manitoba,49.3986,-97.4592,3047,2.9,America/Winnipeg,4,R0G,846
846,Saint-Alexis-des-Monts,Saint-Alexis-des-Monts,QC,Quebec,46.4667,-73.1333,3046,2.9,America/Montreal,3,J0K,847
847,Cap-Saint-Ignace,Cap-Saint-Ignace,QC,Quebec,47.0333,-70.4667,3045,14.6,America/Montreal,3,G0R,848
848,Saint-Anaclet-de-Lessard,Saint-Anaclet-de-Lessard,QC,Quebec,48.48,-68.42,3035,23.9,America/Montreal,4,G0K,849
849,Carman,Carman,MB,Manitoba,49.4992,-98.0008,3027,702.4,America/Winnipeg,3,R0G,850
850,Athens,Athens,ON,Ontario,44.625,-75.95,3013,23.6,America/Toronto,3,K0E,851
851,Melancthon,Melancthon,ON,Ontario,44.15,-80.2667,3008,9.7,America/Toronto,3,L0N,852
852,Cap Santé,Cap Sante,QC,Quebec,46.6667,-71.7833,2996,54.7,America/Montreal,3,G0A,853
853,Harbour Grace,Harbour Grace,NL,Newfoundland and Labrador,47.6917,-53.2167,2995,88.8,America/St_Johns,3,A0A,854
854,Houston,Houston,BC,British Columbia,54.3975,-126.6419,2993,41,America/Vancouver,3,V0J,855
855,Adelaide-Metcalfe,Adelaide-Metcalfe,ON,Ontario,42.95,-81.7,2990,9,America/Toronto,3,N0M N7G,856
856,Crossfield,Crossfield,AB,Alberta,51.4333,-114.0333,2983,249.3,America/Edmonton,3,T0M,857
857,Springdale,Springdale,NL,Newfoundland and Labrador,49.4974,-56.0727,2971,168.8,America/St_Johns,3,A0J,858
858,Fort Macleod,Fort Macleod,AB,Alberta,49.7256,-113.3975,2967,126.8,America/Edmonton,3,T0L,859
859,Athabasca,Athabasca,AB,Alberta,54.7197,-113.2856,2965,168,America/Edmonton,3,T9S,860
860,Enderby,Enderby,BC,British Columbia,50.5508,-119.1397,2964,695.8,America/Vancouver,3,V0E,861
